institution_name,TeamID,year,lookup,opexpperpart_men,opexpperteam_men,rev_men,exp_men
Alabama A & M University,1105,2011,2011-1105,6483,110215,667769,667769
University of Alabama at Birmingham,1412,2011,2011-1412,40812,489740,3121570,2805087
University of Alabama in Huntsville,0,2011,2011-0,4987,69822,364897,412282
Alabama State University,1106,2011,2011-1106,6316,107372,782329,782329
The University of Alabama,1104,2011,2011-1104,55368,885888,10766327,6410262
Auburn University at Montgomery,0,2011,2011-0,1946,29190,352147,331719
Auburn University Main Campus,0,2011,2011-0,50310,855264,9588191,7234287
Birmingham Southern College,0,2011,2011-0,4892,97838,363660,349068
Chattahoochee Valley Community College,0,2011,2011-0,2625,42000,187680,187680
Concordia College-Selma,0,2011,2011-0,1965,39290,128790,128790
Enterprise-Ozark Community College,0,2011,2011-0,2330,32621,131881,131466
James H Faulkner State Community College,0,2011,2011-0,1902,38032,157328,157328
Faulkner University,0,2011,2011-0,5673,79417,534925,534925
Gadsden State Community College,0,2011,2011-0,2577,36079,126352,126352
George C Wallace State Community College-Hanceville,0,2011,2011-0,2623,31470,148884,148884
George C Wallace State Community College-Selma,0,2011,2011-0,2783,50090,94250,94250
Huntingdon College,0,2011,2011-0,1451,53671,213160,213160
Jacksonville State University,1240,2011,2011-1240,10323,134198,785317,785317
Jefferson Davis Community College,0,2011,2011-0,1021,13274,128812,128812
Judson College,0,2011,2011-0,0,0,,
Lawson State Community College-Birmingham Campus,0,2011,2011-0,916,17400,133007,125077
University of West Alabama,0,2011,2011-0,8336,141715,379495,379495
Lurleen B Wallace Community College,0,2011,2011-0,1053,15790,132412,132412
Marion Military Institute,0,2011,2011-0,800,10400,198961,197937
Miles College,0,2011,2011-0,6453,83894,252819,251514
University of Mobile,0,2011,2011-0,3318,53081,457973,447631
University of Montevallo,0,2011,2011-0,4377,65659,392403,392403
Northwest Shoals Community College-Muscle Shoals,0,2011,2011-0,1804,27059,107598,107598
University of North Alabama,0,2011,2011-0,3578,53664,378655,378655
Oakwood University,0,2011,2011-0,1195,16725,31315,28055
Alabama Southern Community College,0,2011,2011-0,3503,56041,172451,172451
Bishop State Community College,0,2011,2011-0,2095,33521,143390,141802
Samford University,0,2011,2011-0,13902,194630,1428754,1168932
Shelton State Community College,0,2011,2011-0,3205,51281,208272,196947
Snead State Community College,0,2011,2011-0,2379,40437,198282,198282
University of South Alabama,1375,2011,2011-1375,15196,303926,1621527,1414424
Spring Hill College,0,2011,2011-0,2586,46542,447770,434097
Stillman College,0,2011,2011-0,2933,38131,222264,222264
Talladega College,0,2011,2011-0,4481,62739,203047,203047
Troy University,1407,2011,2011-1407,9204,138055,960488,905058
Tuskegee University,0,2011,2011-0,4074,93707,297746,297746
Bevill State Community College,0,2011,2011-0,1100,21994,114784,114784
University of Alaska Anchorage,0,2011,2011-0,10863,152085,821343,821343
University of Alaska Fairbanks,0,2011,2011-0,11073,188236,556082,555826
Arizona State University,1113,2011,2011-1113,55279,773909,8591421,5527849
Arizona Western College,0,2011,2011-0,4773,66828,204314,204314
University of Arizona,1112,2011,2011-1112,115400,1731002,19285038,5806535
Central Arizona College,0,2011,2011-0,1521,22820,105574,105902
Cochise College,0,2011,2011-0,1371,19189,111306,111306
Eastern Arizona College,0,2011,2011-0,2914,34968,174684,174684
Glendale Community College,0,2011,2011-0,1140,15958,46643,46643
